age,income,visa_type,language_score,job_experience,country_risk,prior_rejection,funds_available,ties_to_home,rejected
45,111356.0,Student,7.0,13,2,0,126219.0,0.93,0
40,56767.0,Tourist,6.6,10,1,0,44592.0,0.72,0
54,6983.0,Work,8.1,24,1,0,20198.0,0.33,0
49,79408.0,Student,5.2,19,3,0,17752.0,0.7,0
50,9023.0,Work,6.0,7,2,0,2192.0,0.44,0
18,35792.0,Work,8.5,9,1,0,3005.0,0.62,0
36,10684.0,Work,7.6,15,2,0,51741.0,0.7,0
19,18399.0,Tourist,5.6,6,1,1,430878.0,0.76,0
43,5640.0,Work,8.2,4,3,0,4436.0,0.35,1
49,7046.0,Student,5.2,9,2,0,41413.0,0.89,0
23,49819.0,Work,7.2,17,2,1,16435.0,0.96,0
49,63397.0,Student,8.8,24,2,0,106823.0,0.79,0
21,11835.0,Student,6.9,6,3,0,3791.0,0.72,0
28,2234.0,Tourist,8.0,3,3,0,7544.0,0.73,0
34,897053.0,Work,7.7,9,3,0,27675.0,0.79,0
55,23273.0,Tourist,8.3,17,2,1,248113.0,0.92,0
41,35179.0,Student,8.8,17,3,0,6418.0,0.41,0
22,3321.0,Student,4.1,2,2,0,29620.0,0.32,1
51,136332.0,Student,4.1,12,2,0,14030.0,0.35,0
23,171415.0,Student,7.0,13,2,0,7868.0,0.49,0
39,1699.0,Work,8.8,21,2,0,47097.0,0.58,0
28,18891.0,Work,6.4,13,2,0,34351.0,0.63,0
33,16804.0,Work,8.2,0,1,1,1631.0,0.46,1
50,792280.0,Work,7.8,4,1,0,9137.0,0.35,0
26,192033.0,Work,6.5,9,3,0,6373.0,0.47,0
23,2499.0,Tourist,6.6,13,2,0,11064.0,0.84,0
33,7390.0,Work,6.2,18,3,1,10308.0,0.73,1
46,5770.0,Tourist,5.3,22,2,0,298674.0,0.82,0
20,38465.0,Work,8.3,6,1,0,18164.0,0.67,0
37,232888.0,Work,5.0,14,1,0,12689.0,0.48,0
53,25946.0,Tourist,8.5,20,3,0,285333.0,0.98,0
36,46712.0,Student,5.8,8,1,0,16742.0,0.89,0
43,8132.0,Work,4.1,9,1,0,45159.0,0.94,0
20,46338.0,Tourist,4.8,7,1,0,24518.0,0.45,0
36,10852.0,Work,8.4,8,2,0,221805.0,0.79,0
37,1880.0,Tourist,4.6,10,1,0,27567.0,0.68,0
49,42037.0,Student,7.7,21,1,0,14833.0,0.45,0
24,21703.0,Work,4.9,7,3,0,16116.0,0.87,0
58,4248.0,Tourist,6.5,17,3,0,56917.0,0.3,1
50,259907.0,Work,5.0,4,3,0,73299.0,0.42,0
57,6977.0,Work,5.7,7,3,0,104997.0,0.42,1
56,54921.0,Student,4.6,1,1,0,18095.0,0.71,0
35,12787.0,Student,6.8,17,1,0,9360.0,0.66,0
57,223098.0,Work,5.8,18,1,0,27504.0,0.95,0
18,15423.0,Tourist,5.8,17,2,0,60725.0,0.88,0
28,1787.0,Tourist,4.2,19,3,0,169154.0,0.53,0
45,74236.0,Work,4.7,15,2,0,26728.0,0.67,0
42,221752.0,Tourist,7.5,3,1,0,113909.0,0.52,0
40,11598.0,Work,5.5,16,3,0,7948.0,0.44,1
48,60982.0,Work,6.2,5,2,0,35048.0,0.73,0
47,26746.0,Work,7.8,11,1,0,6174.0,0.88,0
59,12406.0,Work,6.2,6,2,1,25717.0,0.32,1
52,77741.0,Work,5.1,22,1,0,137981.0,0.33,0
24,6634.0,Student,6.7,13,1,0,95690.0,0.33,0
33,23127.0,Tourist,8.0,11,2,0,12132.0,0.79,0
43,32404.0,Student,7.0,20,3,0,17509.0,0.54,0
19,30688.0,Student,6.1,19,1,0,7932.0,0.8,0
18,6884.0,Work,4.6,1,2,0,23198.0,0.46,1
29,483791.0,Tourist,5.2,20,3,0,103479.0,0.31,0
22,146293.0,Work,8.7,3,3,1,4591.0,0.77,1
54,97306.0,Student,7.9,7,2,0,102883.0,0.44,0
49,189060.0,Work,4.4,9,1,0,1560.0,0.69,0
26,24420.0,Tourist,4.0,16,1,0,3732.0,0.6,0
58,12620.0,Work,4.9,6,3,0,2443.0,0.92,1
52,4300.0,Work,8.7,20,1,0,22174.0,0.33,0
36,7668.0,Work,6.9,9,3,0,12350.0,0.61,0
33,4812.0,Student,8.2,20,2,0,167419.0,0.89,0
20,9975.0,Tourist,6.3,16,2,0,50540.0,0.78,0
37,33347.0,Work,8.1,15,2,0,10564.0,0.91,0
41,86772.0,Work,4.2,24,1,0,35615.0,0.99,0
50,83244.0,Work,6.1,12,3,0,17380.0,0.69,0
41,3800.0,Tourist,5.9,22,1,0,26641.0,0.54,0
28,61926.0,Student,8.9,17,2,0,32422.0,0.36,0
25,122490.0,Student,5.5,4,1,0,138605.0,0.74,0
53,15043.0,Student,6.1,7,1,0,341838.0,0.84,0
55,132803.0,Work,7.8,6,1,0,114962.0,0.65,0
57,81937.0,Work,8.4,17,1,0,13896.0,0.44,0
37,3305.0,Work,8.4,22,1,1,29634.0,0.93,1
52,589839.0,Work,6.0,5,1,0,20851.0,0.93,0
42,7529.0,Student,8.7,12,3,0,3894.0,0.57,0
52,92608.0,Student,7.3,23,2,0,38406.0,0.76,0
42,87714.0,Student,8.3,8,3,0,85169.0,0.84,0
46,3512.0,Work,8.6,22,3,0,4282.0,0.37,1
35,28810.0,Tourist,5.2,7,2,0,13819.0,0.89,0
35,86109.0,Work,6.5,11,2,0,11801.0,0.81,0
19,3457.0,Student,6.9,9,2,0,50783.0,0.67,0
52,25576.0,Student,8.0,6,2,0,65627.0,0.94,0
33,97637.0,Tourist,6.0,6,2,0,352247.0,0.85,0
58,107566.0,Student,5.1,16,2,0,38328.0,0.64,0
53,12142.0,Student,7.7,4,2,0,100340.0,0.91,0
50,223363.0,Student,7.0,9,3,0,31428.0,0.91,0
21,156105.0,Work,8.5,20,3,0,22364.0,0.73,0
50,31629.0,Student,7.3,19,1,1,22547.0,0.92,0
31,8197.0,Student,4.1,14,1,0,64462.0,0.81,0
38,3832.0,Work,8.8,12,2,0,23276.0,0.37,0
37,38806.0,Student,7.0,13,1,0,6332.0,0.91,0
25,198148.0,Student,7.0,16,3,1,38197.0,0.83,1
24,17664.0,Work,8.5,6,2,0,50178.0,0.53,0
20,6072.0,Tourist,7.3,23,3,0,30970.0,0.4,1
34,75916.0,Student,6.4,20,1,0,32608.0,0.35,0
50,28617.0,Student,4.5,3,2,0,53592.0,0.97,0
29,47756.0,Student,8.8,8,2,0,21563.0,0.71,0
39,10017.0,Work,4.4,18,3,0,57619.0,0.34,1
39,12648.0,Tourist,4.9,13,3,0,45274.0,0.32,1
47,9947.0,Student,8.1,2,2,0,48768.0,0.38,0
55,46572.0,Work,6.5,3,1,0,117675.0,0.78,0
55,13239.0,Student,4.9,22,2,0,63059.0,0.45,1
25,53564.0,Work,5.4,1,1,0,3715.0,0.66,0
44,8673.0,Student,9.0,7,2,0,84966.0,0.88,0
44,46456.0,Tourist,6.9,1,2,0,159587.0,0.84,0
51,63302.0,Work,6.0,3,2,0,160843.0,0.58,0
38,36218.0,Student,8.4,1,1,1,191498.0,0.89,0
47,87166.0,Tourist,6.4,24,2,0,57647.0,0.52,0
50,10698.0,Student,5.5,3,1,0,43665.0,0.47,0
45,62253.0,Student,4.8,20,1,0,20092.0,0.83,0
50,31258.0,Tourist,7.7,8,3,0,6574.0,0.65,0
22,6538.0,Student,7.0,1,3,0,58091.0,0.96,0
36,1261.0,Tourist,4.5,19,2,0,33662.0,0.49,0
21,1738.0,Work,7.0,21,3,0,12827.0,0.67,0
52,802.0,Tourist,4.8,16,2,0,97768.0,0.44,0
34,41739.0,Work,8.9,0,1,0,14855.0,0.36,0
45,13532.0,Student,5.3,22,1,0,71453.0,0.43,1
47,25105.0,Tourist,7.5,5,2,0,35808.0,0.34,0
46,16804.0,Student,7.3,15,3,0,168969.0,0.44,0
23,52707.0,Work,7.5,3,1,0,274651.0,0.32,0
52,55070.0,Work,6.1,4,1,0,85256.0,0.4,0
58,23490.0,Work,4.4,4,2,0,12001.0,0.6,0
54,25723.0,Work,8.9,8,1,0,26781.0,0.49,0
41,27311.0,Tourist,5.0,4,2,0,71445.0,0.53,0
46,177668.0,Tourist,7.8,1,1,0,25461.0,0.42,0
48,1089.0,Tourist,4.7,6,1,0,141389.0,0.95,0
52,8056.0,Work,5.4,14,3,1,31620.0,0.93,1
50,80651.0,Tourist,6.8,24,2,0,67554.0,0.53,0
38,116059.0,Work,6.1,22,1,0,80086.0,0.94,0
49,41806.0,Tourist,8.8,7,2,0,72804.0,0.61,0
40,16711.0,Tourist,8.2,2,1,0,13433.0,0.51,0
50,359453.0,Student,8.6,10,3,0,217045.0,0.99,0
20,28759.0,Student,7.2,24,3,0,44813.0,0.6,0
35,23067.0,Tourist,5.1,22,2,0,26449.0,0.36,0
42,162377.0,Student,6.6,9,2,0,6153.0,0.71,0
59,44951.0,Work,7.8,3,1,0,6230.0,0.43,0
48,90196.0,Tourist,4.3,11,1,0,17566.0,0.73,0
20,107523.0,Student,8.3,12,2,0,17004.0,0.33,0
57,12598.0,Tourist,7.2,6,2,0,7903.0,0.38,1
41,312262.0,Tourist,7.6,18,1,0,19324.0,0.52,0
49,548.0,Student,7.5,15,2,0,120197.0,0.73,0
39,1131.0,Work,8.2,9,2,0,57354.0,0.75,0
40,7940.0,Student,4.4,6,1,0,8835.0,0.75,0
19,11672.0,Work,5.9,2,3,0,125485.0,0.66,0
44,37947.0,Work,6.5,1,1,0,122269.0,0.53,0
59,7831.0,Tourist,6.7,0,2,1,5654.0,0.91,1
19,21636.0,Student,8.7,21,2,0,192216.0,0.62,0
43,16192.0,Work,4.2,15,3,0,79559.0,0.85,0
34,445386.0,Work,8.3,12,2,0,123603.0,0.63,0
57,6585.0,Student,6.8,2,1,0,11318.0,0.9,0
50,1764.0,Tourist,6.8,13,1,0,24469.0,0.32,0
26,118007.0,Tourist,5.6,17,1,0,20339.0,0.49,0
56,7548.0,Work,7.2,10,3,0,15450.0,0.85,1
46,19197.0,Work,7.2,18,3,0,16285.0,0.78,0
59,8356.0,Work,4.9,23,2,0,12078.0,0.93,0
43,66554.0,Work,7.4,2,3,0,75678.0,0.71,0
52,2803.0,Student,5.3,19,2,0,45608.0,0.97,0
42,331.0,Work,7.4,1,2,0,136711.0,0.94,0
41,153826.0,Work,7.1,23,3,1,2031.0,0.95,1
30,31927.0,Work,7.6,5,1,0,58875.0,0.73,0
24,110080.0,Student,4.1,24,1,0,17490.0,0.92,0
53,146286.0,Student,4.6,23,3,0,20540.0,0.6,0
37,5571.0,Work,8.2,3,2,0,25828.0,0.98,0
18,24125.0,Student,5.9,12,3,0,617422.0,0.42,0
25,47008.0,Work,8.2,7,2,0,15069.0,0.51,0
33,18724.0,Student,4.3,14,2,0,73058.0,0.66,0
31,13791.0,Work,7.8,0,2,0,306753.0,0.97,0
29,15987.0,Tourist,4.4,24,3,0,8600.0,0.7,0
40,111895.0,Tourist,6.3,15,1,0,34131.0,0.34,0
32,14935.0,Student,8.7,20,1,0,7512.0,0.73,0
45,54195.0,Student,4.4,19,2,0,14478.0,0.97,0
51,37062.0,Tourist,5.8,4,3,1,63089.0,0.6,1
19,5186.0,Tourist,6.6,12,1,0,34216.0,0.51,0
49,34647.0,Student,8.5,16,3,0,4939.0,0.72,0
40,2191.0,Tourist,5.7,1,1,0,71118.0,0.78,0
39,40221.0,Student,8.0,12,3,0,312830.0,0.58,0
42,83841.0,Work,7.6,1,2,0,71637.0,0.35,0
39,118435.0,Student,5.5,10,1,0,19836.0,0.56,0
39,5276.0,Tourist,5.7,14,1,0,10929.0,0.64,0
59,9855.0,Work,5.0,8,3,0,38739.0,0.66,1
23,33728.0,Student,7.5,21,1,0,10198.0,0.79,0
32,10787.0,Work,6.8,18,1,0,160375.0,0.31,0
54,1220.0,Student,4.8,3,3,0,27871.0,0.92,1
50,9774.0,Student,7.1,16,1,0,5280.0,0.72,0
25,33534.0,Work,6.5,14,2,0,20582.0,0.67,0
22,109239.0,Work,4.5,6,1,1,17658.0,0.41,1
56,277566.0,Student,8.8,22,2,0,95328.0,0.38,0
21,26567.0,Work,8.2,12,3,0,62034.0,0.69,0
23,51521.0,Work,4.4,7,2,0,42849.0,0.8,0
49,93076.0,Work,8.7,0,3,0,16634.0,0.83,0
47,1017.0,Student,8.6,8,3,0,4684.0,0.7,0
52,4775.0,Student,4.2,17,2,1,188797.0,0.55,1
57,25690.0,Student,5.0,16,2,0,36240.0,0.4,1
33,227275.0,Student,7.5,16,1,0,220059.0,0.7,0
30,56650.0,Work,8.7,7,2,0,55729.0,0.53,0
59,36118.0,Tourist,8.1,2,2,0,11095.0,0.87,0
47,15644.0,Student,5.4,21,2,1,66687.0,0.66,1
36,41781.0,Work,4.2,21,1,1,7308.0,0.46,1
34,9003.0,Student,6.4,10,3,0,4099.0,0.88,0
36,6838.0,Student,4.5,1,2,0,88790.0,0.94,0
45,7790.0,Work,5.2,1,1,0,16937.0,0.43,1
43,164509.0,Work,7.2,15,1,0,175556.0,0.69,0
54,6246.0,Tourist,6.5,16,2,0,9988.0,0.89,0
43,12111.0,Work,5.9,8,2,0,260266.0,0.91,0
40,44646.0,Student,8.6,0,3,0,126038.0,0.71,0
26,5882.0,Work,5.0,21,1,0,83345.0,0.67,0
29,30923.0,Tourist,6.4,11,2,0,28792.0,0.33,0
18,30906.0,Work,6.9,24,3,0,44977.0,0.81,0
18,8633.0,Tourist,5.6,5,3,1,118345.0,0.43,1
51,14940.0,Student,7.5,10,2,0,53076.0,0.92,0
49,5349.0,Tourist,8.3,5,2,0,103958.0,0.85,0
42,175282.0,Student,6.7,19,3,0,51849.0,1.0,0
57,32415.0,Work,7.9,4,1,0,19928.0,0.68,0
18,4569.0,Work,4.3,12,3,0,295793.0,0.62,0
33,26622.0,Student,4.8,0,3,0,339519.0,0.51,0
56,28492.0,Tourist,6.3,15,3,0,161390.0,0.33,1
22,761.0,Student,8.6,18,3,1,47926.0,0.74,1
39,164500.0,Student,6.7,10,1,0,33839.0,0.96,0
46,4992.0,Tourist,6.2,21,1,0,130337.0,0.63,0
20,506521.0,Student,7.0,1,1,0,32021.0,0.51,0
29,72616.0,Student,4.6,0,1,0,8500.0,0.78,0
43,4063.0,Work,7.3,12,2,0,28860.0,0.8,0
33,13748.0,Work,4.5,16,2,0,101733.0,0.8,0
54,87898.0,Tourist,6.9,13,3,0,48840.0,0.97,0
39,15419.0,Work,7.6,16,1,0,35980.0,0.39,0
46,128973.0,Tourist,6.1,9,2,0,14511.0,0.87,0
31,12530.0,Tourist,8.6,16,2,0,7090.0,0.36,0
45,19575.0,Work,4.8,12,3,1,20645.0,0.79,1
22,91604.0,Student,4.9,5,1,0,55220.0,0.83,0
47,54453.0,Work,6.6,3,1,0,17719.0,0.58,0
22,5498.0,Student,8.7,3,1,0,41204.0,0.8,0
29,42238.0,Student,6.0,13,2,0,73323.0,0.44,0
33,28316.0,Work,8.6,3,3,0,91519.0,0.32,0
43,5611.0,Tourist,7.5,23,2,0,47654.0,0.42,0
43,2736.0,Work,7.9,22,2,0,6887.0,0.4,0
38,1216.0,Student,8.7,4,2,0,54738.0,0.89,0
56,14163.0,Work,6.9,13,2,0,29536.0,0.49,1
53,20312.0,Student,7.2,14,2,0,2474.0,0.81,0
50,46951.0,Student,6.9,22,3,0,25112.0,0.88,0
47,75412.0,Work,7.9,7,3,0,330779.0,0.97,0
54,11840.0,Student,5.4,23,2,0,42217.0,0.88,0
40,19446.0,Student,7.9,10,3,1,72778.0,0.89,1
27,7058.0,Tourist,7.6,6,3,0,222781.0,0.54,0
22,25106.0,Work,7.0,22,3,0,47724.0,0.5,0
53,94161.0,Student,4.2,12,1,0,38049.0,0.59,0
51,25635.0,Work,7.9,13,2,0,6329.0,0.77,0
48,126120.0,Student,4.7,8,1,0,34621.0,0.52,0
27,91828.0,Tourist,8.8,14,3,1,24464.0,0.32,1
36,196133.0,Student,4.4,20,1,0,57778.0,0.68,0
49,26738.0,Tourist,7.6,7,3,0,21178.0,0.32,0
18,9911.0,Tourist,5.8,1,2,0,17842.0,0.85,0
22,55930.0,Work,7.7,11,2,0,2387.0,0.39,0
